Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2010.00,72000.00,CNG,Manual,First,26.6,998,58.16,5.00,1750.00
2015.00,41000.00,Diesel,Manual,First,19.67 ,1582,126.2,5.00,12500.00
2011.00,46000.00,Petrol,Manual,First,18.2 ,1199,88.7,5.00,4500.00
2012.00,87000.00,Diesel,Manual,First,20.77 ,1248,88.76,7.00,6000.00
2013.00,40670.00,Diesel,Automatic,Second,15.2 ,1968,140.8,5.00,17740.00
2012.00,75000.00,LPG,Manual,First,21.1,814,55.2,5.00,2350.00
2013.00,86999.00,Diesel,Manual,First,23.08 ,1461,63.1,5.00,3500.00
2016.00,36000.00,Diesel,Automatic,First,11.36 ,2755,171.5,8.00,17500.00
2013.00,64430.00,Diesel,Manual,First,20.54 ,1598,103.6,5.00,5200.00
2012.00,65932.00,Diesel,Manual,Second,22.3 ,1248,74,5.00,1950.00
2018.00,25692.00,Petrol,Manual,First,21.56 ,1462,103.25,5.00,9950.00
2012.00,60000.00,Petrol,Automatic,First,16.8 ,1497,116.3,5.00,4490.00
2015.00,64424.00,Diesel,Manual,First,25.2 ,1248,74,5.00,5600.00
2014.00,72000.00,Diesel,Automatic,First,12.7 ,2179,187.7,5.00,27000.00
2012.00,85000.00,Diesel,Automatic,Second,0.0 ,2179,115,5.00,17500.00
2014.00,110000.00,Diesel,Manual,First,13.5 ,2477,175.56,7.00,15000.00
2016.00,58950.00,Diesel,Manual,First,25.8 ,1498,98.6,5.00,5400.00
2017.00,25000.00,Diesel,Manual,First,28.4 ,1248,74,5.00,5990.00
2014.00,77469.00,Diesel,Manual,First,20.45 ,1461,83.8,5.00,6340.00
2014.00,78500.00,Diesel,Automatic,First,14.84 ,2143,167.62,5.00,28000.00
2014.00,32982.00,Diesel,Automatic,First,22.69 ,1995,190,5.00,18550.00
2015.00,55392.00,Diesel,Manual,Second,23.65 ,1248,88.5,5.00,8250.00
2015.00,55985.00,Petrol,Automatic,First,13.53 ,1984,177.01,5.00,23500.00
2010.00,45807.00,Petrol,Manual,First,18.5 ,1197,80,5.00,1870.00
2010.00,33000.00,Petrol,Automatic,First,14.4 ,1598,103.6,5.00,2850.00
2012.00,51920.00,Petrol,Manual,First,16.8 ,1497,116.3,5.00,4250.00
2012.00,54000.00,Diesel,Manual,First,23.08 ,1461,63.1,5.00,4250.00
2013.00,54000.00,Petrol,Manual,Second,20.92 ,998,67.1,5.00,2750.00
2018.00,37430.00,Petrol,Manual,First,17.5 ,1199,88.7,5.00,9900.00
2007.00,262000.00,Diesel,Manual,Fourth & Above,12.8 ,2494,102,7.00,4000.00
2013.00,62000.00,Diesel,Manual,First,19.01 ,1461,108.45,5.00,7750.00
2012.00,87615.00,Petrol,Manual,First,14.53 ,1798,138.1,5.00,6750.00
2013.00,72000.00,Diesel,Automatic,Second,11.18 ,2696,184,7.00,12500.00
2010.00,35000.00,Diesel,Automatic,First,12.4 ,2698,179.5,5.00,11500.00
2014.00,55431.00,Petrol,Manual,Second,16.09 ,1598,103.5,5.00,6980.00
2009.00,83816.00,Petrol,Manual,Second,14.0 ,1061,64,5.00,1850.00
2018.00,50075.00,Diesel,Manual,First,24.3 ,1248,88.5,5.00,8630.00
2017.00,52000.00,Petrol,Manual,First,18.15 ,1198,82,5.00,4850.00
2013.00,85000.00,Diesel,Automatic,First,11.74 ,2987,254.8,5.00,28000.00
2013.00,62000.00,Diesel,Manual,First,22.07 ,1199,73.9,5.00,5000.00
2008.00,90000.00,Petrol,Manual,Second,19.7 ,796,46.3,5.00,1250.00
2014.00,19698.00,Petrol,Manual,First,25.4 ,624,37.5,4.00,1530.00
2017.00,22033.00,Diesel,Manual,First,25.32 ,1198,77,6.00,5580.00
2014.00,35487.00,Petrol,Manual,First,18.5 ,1197,82.9,5.00,4740.00
2014.00,46374.00,Petrol,Automatic,First,14.62 ,1999,149.92,5.00,8850.00
2016.00,52001.00,Petrol,Automatic,First,14.28 ,1798,138.03,5.00,10110.00
2008.00,58005.00,Diesel,Manual,Second,14.9 ,1991,112.2,5.00,4250.00
2012.00,70704.00,Petrol,Manual,First,11.25 ,2694,163.7,7.00,10950.00
