Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Transmission_Manual,Fuel_Type_Petrol,First_Owner
2010,72000,CNG,Manual,First,26.6,998,58.16,5,1750,1,0,1
2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12500,1,0,1
2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4500,1,1,1
2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6000,1,0,1
2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17740,0,0,0
2012,75000,LPG,Manual,First,21.1,814,55.2,5,2350,1,0,1
2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3500,1,0,1
2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17500,0,0,1
2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5200,1,0,1
2012,65932,Diesel,Manual,Second,22.3,1248,74,5,1950,1,0,0
2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9950,1,1,1
2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4490,0,1,1
2015,64424,Diesel,Manual,First,25.2,1248,74,5,5600,1,0,1
2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27000,0,0,1
2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15000,1,0,1
2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5400,1,0,1
2017,25000,Diesel,Manual,First,28.4,1248,74,5,5990,1,0,1
2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6340,1,0,1
2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28000,0,0,1
2014,32982,Diesel,Automatic,First,22.69,1995,190,5,18550,0,0,1
2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8250,1,0,0
2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23500,0,1,1
2010,45807,Petrol,Manual,First,18.5,1197,80,5,1870,1,1,1
2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2850,0,1,1
2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4250,1,1,1
2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4250,1,0,1
2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2750,1,1,0
2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9900,1,1,1
2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4000,1,0,0
2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7750,1,0,1
2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6750,1,1,1
2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12500,0,0,0
2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11500,0,0,1
2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6980,1,1,0
2009,83816,Petrol,Manual,Second,14,1061,64,5,1850,1,1,0
2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8630,1,0,1
2017,52000,Petrol,Manual,First,18.15,1198,82,5,4850,1,1,1
2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28000,0,0,1
2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5000,1,0,1
2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1250,1,1,0
2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1530,1,1,1
2017,22033,Diesel,Manual,First,25.32,1198,77,6,5580,1,0,1
2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4740,1,1,1
2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8850,0,1,1
2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10110,0,1,1
2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4250,1,0,0
2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10950,1,1,1
2014,75000,Diesel,Manual,First,24.4,1120,71,5,3850,1,0,1
2012,75800,Diesel,Manual,Second,16.55,2498,105,6,5500,1,0,0
2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21430,0,0,1
2014,52000,Diesel,Manual,First,22.9,1248,74,5,4250,1,0,1
2014,53000,Diesel,Manual,First,17.8,1248,75,5,3300,1,0,1
2013,65650,Diesel,Manual,First,28.4,1248,74,5,3850,1,0,1
2015,54000,Petrol,Manual,Third,18.9,1197,82,5,3600,1,1,0
2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3990,1,1,1
2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3300,1,1,1
2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2070,1,1,1
2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7750,0,0,1
2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2250,1,1,1
2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16500,1,0,1
2010,72000,Diesel,Manual,First,20,1399,68,5,2750,1,0,1
2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26700,0,1,1
2011,65000,Diesel,Manual,Second,15.8,2148,170,5,10000,1,0,0
2016,178000,Diesel,Manual,First,25,1396,69,5,2500,1,0,1
2012,65664,Diesel,Automatic,First,16.55,1968,140,5,13500,0,0,1
2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1850,0,1,0
2019,15369,Diesel,Automatic,First,0,1950,194,5,35670,0,0,1
2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8150,1,0,1
2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10500,1,0,1
2008,73000,Petrol,Automatic,First,8.5,4806,500,5,14500,0,1,1
2015,55729,Diesel,Manual,First,15.1,2179,140,7,9650,1,0,1
2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3480,0,1,1
2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6920,1,0,1
2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6460,0,1,0
2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29500,0,0,0
2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4500,1,1,0
2012,104000,Diesel,Manual,First,12.8,2494,102,7,11750,1,0,1
2012,95100,Diesel,Manual,First,22.9,1248,74,5,3750,1,0,1
2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4500,1,1,1
2016,54944,Petrol,Manual,First,18,1198,86.7,5,4820,1,1,1
2012,70337,Diesel,Manual,First,20,1399,68,5,2800,1,0,1
2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3110,1,0,1
2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3250,1,1,1
2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,13900,0,0,0
2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2250,1,1,1
2016,16000,Petrol,Manual,First,18.9,1197,82,5,5750,1,1,1
2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5000,1,1,1
2014,107000,Diesel,Manual,First,13,2982,168.5,7,16500,1,0,1
2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39580,0,0,1
2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5500,1,0,1
2014,58000,Diesel,Manual,First,15.1,2179,140,7,8100,1,0,1
2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3500,1,0,1
2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2790,1,0,1
2010,70002,Diesel,Manual,First,16.2,1493,110,5,3450,1,0,1
2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4450,1,1,1
2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2650,1,1,1
2011,78958,Diesel,Manual,Second,23,1396,90,5,3800,1,0,0
2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4650,1,1,1
2017,32851,Petrol,Manual,First,19.83,1198,67,7,3950,1,1,1
2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9800,0,0,1
2009,66000,Petrol,Manual,Second,17,1197,80,5,2700,1,1,0
2010,93850,Petrol,Manual,First,14,796,35,5,2410,1,1,1
2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3900,1,1,1
2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24000,0,0,0
2012,65000,Diesel,Manual,Second,16,2179,140,7,5750,1,0,0
2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5250,0,0,1
2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19250,0,0,1
2017,38053,Petrol,Manual,First,15.1,1196,73,5,3910,1,1,1
2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2150,1,1,1
2015,56087,Diesel,Automatic,First,22.69,1995,190,5,20750,0,0,1
2010,71088,Petrol,Manual,First,13.5,1799,130,5,3350,1,1,1
2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11110,1,0,1
2014,32700,Diesel,Automatic,First,23.3,1984,150,5,20000,0,0,1
2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6550,0,1,1
2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7000,0,1,1
2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7500,1,0,1
2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,16750,0,0,0
2018,10250,Diesel,Manual,First,22,1582,126.2,5,10950,1,0,1
2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2450,1,1,1
2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3230,0,1,1
2014,42000,Diesel,Manual,First,12.05,2179,120,8,7750,1,0,1
2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9350,0,1,1
2013,89900,CNG,Manual,First,26.6,998,58.16,5,3250,1,0,1
2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5250,1,1,0
2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7250,0,0,1
2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7470,1,1,1
2016,54000,Diesel,Automatic,First,16,2179,140,7,13250,0,0,1
2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5810,1,1,1
2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2600,1,1,1
2017,13372,Petrol,Automatic,First,19,2996,362.07,2,54000,0,1,1
2019,12645,Petrol,Automatic,First,17,1591,121.3,5,11500,0,1,1
2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1600,1,1,0
2015,31821,Diesel,Automatic,First,20.58,1995,143,5,17220,0,0,1
2015,12000,Petrol,Automatic,First,19,1199,88.7,5,6000,0,1,1
2012,88578,Petrol,Manual,First,13.5,1799,130,5,3950,1,1,1
2014,44965,Diesel,Automatic,First,19.27,2143,170,5,17950,0,0,1
2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3700,1,0,1
2016,34204,Petrol,Manual,First,22,1197,81.8,5,5430,1,1,1
2012,91235,Diesel,Manual,First,11.5,2982,171,7,13490,1,0,1
2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2850,1,1,1
2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4750,1,0,1
2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9900,1,1,1
2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37000,0,1,1
2014,48000,Diesel,Automatic,First,21.76,1995,190,5,26500,0,0,1
2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23320,0,0,1
2016,35000,Diesel,Manual,First,22.9,1248,74,5,6250,1,0,1
2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30000,0,1,1
2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9860,0,0,1
2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8500,0,0,1
2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4230,1,1,1
2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3500,1,0,1
2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2500,1,1,1
2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2390,1,1,1
2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11250,0,1,1
2015,42831,Diesel,Manual,First,26,1498,98.6,5,7110,1,0,1
2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10900,1,0,1
2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6200,1,1,1
2012,32792,Diesel,Manual,First,15.1,2179,140,7,7900,1,0,1
2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4420,1,0,1
2012,131765,Diesel,Manual,First,13,2982,168.5,7,13500,1,0,1
2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6250,0,0,1
2010,66123,Diesel,Manual,Second,20,1399,68,5,2100,1,0,0
2015,41000,Diesel,Automatic,First,15.3,2993,258,5,45000,0,0,1
2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33660,0,0,1
2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3650,1,1,0
2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2750,1,1,1
2016,44414,Diesel,Automatic,First,17.9,2143,170,5,42500,0,0,1
2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6500,1,1,1
2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19000,0,0,0
2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4450,0,1,0
2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,23000,0,0,0
2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8350,1,0,1
2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22950,0,0,1
2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1500,1,0,1
2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6890,0,1,1
2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1450,1,0,0
2014,51000,Diesel,Automatic,First,22.48,1995,190,5,33500,0,0,1
2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1250,1,1,1
2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4200,1,0,1
2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6750,1,0,1
2014,37382,Diesel,Automatic,First,13,2143,201.1,5,32000,0,0,1
2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7500,1,1,1
2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4600,1,0,1
2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4040,1,1,1
2016,56739,Diesel,Manual,First,15.4,1997,120,7,10310,1,0,1
2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55760,0,0,1
2010,120000,Diesel,Manual,First,20,1399,68,5,2600,1,0,1
2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8500,1,0,1
2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3500,1,0,1
2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3550,1,1,1
2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3250,1,0,1
2008,113000,Diesel,Manual,First,17.5,1896,106,5,4500,1,0,1
2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5350,1,0,1
2017,29000,Diesel,Manual,Second,17.45,1493,100,7,6500,1,0,0
